Rk,Team,Year,Playoff Wins,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,O_MP,O_FG,O_FGA,O_FG%,O_3P,O_3PA,O_3P%,O_2P,O_2PA,O_2P%,O_FT,O_FTA,O_FT%,O_ORB,O_DRB,O_TRB,O_AST,O_STL,O_BLK,O_TOV,O_PF,O_PTS,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
14,Boston Celtics,2004,0,28,15,22,10,3,3,12,24,27,6,8,8,18,27,17,27,17,2,25,24,24,8,28,15,17,14,29,29,24,8,4,16,23,26,2,26,22,24,23,27,12,1,9,20,20,10,19,19,19,23,20,17,17,3,7,3,5,24,28,5,19,4,24,22,,20
15,Memphis Grizzlies,2004,0,5,7,9,8,10,8,20,9,15,7,10,7,24,9,25,17,5,1,2,16,27,7,5,13,12,13,5,5,9,16,22,13,26,25,24,29,18,26,8,21,25,3,4,15,8,22,9,9,9,9,8,7,11,10,8,10,8,10,11,13,10,2,29,25,,25
16,New York Knicks,2004,0,5,13,17,12,18,20,4,12,11,16,23,27,3,19,5,14,16,19,16,21,26,16,5,11,11,8,10,15,8,11,11,8,28,27,23,8,10,10,9,22,8,23,27,13,17,13,20,20,20,22,19,20,15,17,26,20,13,23,19,22,8,23,8,27,,5
1,San Antonio Spurs,2005,16,17,19,21,10,12,13,8,20,23,8,23,16,26,15,11,12,14,17,2,8,5,18,17,3,6,3,1,1,24,10,23,1,6,6,25,4,10,6,1,9,23,11,13,1,2,28,1,1,1,15,1,8,1,23,12,11,6,12,12,21,1,6,3,11,,9
2,Detroit Pistons,2005,15,3,23,23,17,22,22,23,16,12,20,16,13,23,6,10,4,12,20,3,11,2,24,3,8,12,5,3,4,4,9,12,5,2,2,12,7,5,4,4,13,8,21,18,2,5,26,6,6,6,29,6,17,3,30,11,22,23,14,4,14,5,18,5,3,,1
3,Miami Heat,2005,11,2,3,26,1,14,16,3,10,22,1,13,2,30,25,2,7,11,28,6,9,11,4,2,10,20,4,9,11,10,11,22,3,17,16,19,6,9,7,5,14,1,26,2,8,2,28,3,3,3,30,4,5,6,15,1,15,2,11,25,10,4,26,2,14,,4
4,Phoenix Suns,2005,9,19,1,2,2,1,1,1,14,24,2,19,19,22,19,1,1,3,22,9,7,1,1,19,30,30,14,26,28,3,30,30,16,1,1,5,30,26,29,15,19,4,22,26,30,1,30,2,2,2,16,2,1,17,1,26,1,1,3,22,24,10,28,29,1,,11
5,Dallas Mavericks,2005,6,27,4,7,8,15,15,6,12,11,6,1,5,4,14,8,8,26,4,7,4,13,3,27,15,22,8,13,25,1,16,20,11,14,14,15,27,19,24,11,7,15,7,12,14,4,27,4,4,4,13,3,4,9,9,9,17,8,4,17,3,8,9,23,12,,3
6,Indiana Pacers,2005,6,5,30,30,25,7,6,24,30,30,24,7,10,2,28,18,28,29,16,19,16,20,25,5,7,4,10,2,2,23,8,10,8,19,21,3,15,12,13,2,4,14,20,14,5,14,16,15,15,15,20,13,20,11,29,4,4,18,20,26,1,7,17,15,20,,17
7,Seattle Supersonics,2005,6,24,22,20,18,2,2,5,29,29,10,11,15,3,8,27,23,30,24,23,6,25,11,24,13,7,25,20,17,14,13,6,25,13,15,10,8,1,2,10,2,12,26,6,13,6,25,8,8,7,9,8,2,27,27,13,2,5,9,2,11,23,23,16,18,,21
