Rk,Team,Year,Playoff Wins,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,O_MP,O_FG,O_FGA,O_FG%,O_3P,O_3PA,O_3P%,O_2P,O_2PA,O_2P%,O_FT,O_FTA,O_FT%,O_ORB,O_DRB,O_TRB,O_AST,O_STL,O_BLK,O_TOV,O_PF,O_PTS,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
15,Los Angeles Lakers,2013,0,24,16,22,10,4,3,19,26,27,7,2,1,30,14,2,4,17,25,14,22,2,6,24,30,30,14,18,20,14,29,29,14,2,2,3,23,14,19,23,29,13,29,1,22,11,18,11,11,11,9,10,9,20,5,1,3,9,17,13,2,15,29,10,1,,8
16,Milwaukee Bucks,2013,0,12,7,1,28,13,11,14,12,2,27,26,23,22,2,13,5,9,8,2,9,9,12,12,23,24,15,7,9,8,28,28,14,21,19,20,29,30,30,21,18,9,2,22,20,18,13,18,18,19,21,18,22,12,3,27,16,24,3,11,28,11,6,28,15,,27
1,San Antonio Spurs,2014,16,25,1,13,2,12,16,1,3,14,4,27,30,4,26,4,12,1,20,9,11,2,6,25,14,25,8,1,1,10,26,28,6,4,5,20,11,15,12,6,15,15,25,25,6,1,30,1,1,1,15,1,7,3,10,30,16,2,12,24,27,4,23,4,3,,9
2,Miami Heat,2014,13,7,12,30,1,14,15,12,12,29,1,15,17,14,30,30,30,11,2,18,16,8,12,7,6,2,16,24,26,18,2,2,20,9,10,5,17,2,2,12,23,1,2,16,5,5,24,4,4,5,25,7,5,11,27,9,6,1,28,29,8,20,1,24,13,,4
3,Indiana Pacers,2014,10,22,28,28,17,22,25,17,23,18,22,13,16,8,23,1,8,27,27,5,19,13,24,22,1,14,1,3,5,4,5,23,1,6,6,11,9,7,5,1,8,14,26,6,2,4,27,6,6,7,29,8,23,1,20,13,23,19,26,21,9,1,22,2,9,,15
4,Oklahoma City Thunder,2014,10,20,6,15,6,15,14,14,8,22,5,5,8,2,18,6,6,13,10,2,25,28,5,20,8,18,3,27,28,14,3,9,4,18,25,1,18,4,3,13,24,5,9,18,12,2,29,3,3,3,13,3,6,6,9,8,14,6,21,14,5,6,11,9,16,,11
5,Los Angeles Clippers,2014,6,25,4,17,3,13,8,22,11,24,3,3,2,26,21,10,14,3,6,12,7,20,1,25,13,23,5,9,14,1,18,21,10,22,22,12,29,11,25,25,3,3,7,3,14,3,28,2,2,2,14,2,1,9,7,2,8,5,5,20,2,5,13,26,17,,7
6,Washington Wizards,2014,6,1,9,9,10,16,19,5,8,9,12,29,25,25,19,17,20,8,11,15,15,13,16,1,11,7,18,12,12,5,14,8,21,14,13,23,4,20,11,18,16,7,4,23,9,14,16,15,15,15,30,15,17,8,18,26,18,11,13,17,30,15,2,8,15,,18
7,Brooklyn Nets,2014,5,7,29,29,12,10,10,11,30,28,9,10,10,18,28,28,29,24,4,28,12,21,21,7,7,4,17,17,17,23,6,3,17,21,21,19,21,13,18,11,10,9,6,11,11,14,16,19,19,19,23,20,14,20,25,5,4,10,22,27,7,18,3,28,25,,17
8,Portland Trail Blazers,2014,5,10,5,3,15,4,3,10,18,17,15,7,13,1,3,4,1,9,30,14,5,6,4,10,27,28,11,2,2,11,29,30,8,11,9,26,25,19,22,7,19,6,30,13,22,5,24,8,8,8,9,6,2,16,12,18,10,14,3,3,14,7,30,13,7,,5
9,Atlanta Hawks,2014,3,15,18,24,13,5,2,13,27,27,8,18,22,6,29,18,28,2,9,26,24,7,15,15,23,19,21,15,15,20,19,17,19,7,7,4,16,25,24,24,26,12,10,20,15,18,13,17,17,17,18,16,18,14,13,21,2,9,27,28,16,19,8,17,8,,28
10,Dallas Mavericks,2014,3,15,2,11,4,8,12,2,10,19,6,20,23,3,22,23,26,6,5,21,3,10,8,15,14,10,22,22,24,15,13,7,26,20,19,17,24,10,16,15,17,4,5,21,20,10,21,12,12,12,7,11,3,22,16,23,13,4,6,23,20,24,5,25,22,,2
11,Golden State Warriors,2014,3,15,3,6,9,2,6,4,13,20,10,26,24,19,17,2,5,7,13,10,22,22,10,15,9,22,4,8,9,3,16,25,3,23,20,25,14,24,20,8,22,10,11,26,10,8,23,5,5,4,12,4,12,4,6,29,8,8,15,18,28,3,16,5,18,,6
12,Memphis Grizzlies,2014,3,20,14,22,7,30,30,19,1,1,11,30,29,23,9,21,19,14,14,16,4,5,27,20,3,3,9,13,11,12,4,6,11,5,4,27,2,1,1,4,7,19,20,29,3,9,22,14,14,14,6,13,15,7,30,26,30,18,10,2,29,12,12,7,10,,20
13,Toronto Raptors,2014,3,2,24,23,22,9,11,9,28,23,23,6,7,5,12,20,17,21,25,23,9,29,13,2,5,6,10,7,6,16,10,14,9,24,24,7,8,5,4,10,9,11,13,5,7,11,18,9,9,9,28,12,10,10,23,6,11,15,11,11,6,10,7,12,26,,10
14,Houston Rockets,2014,2,15,15,26,5,1,1,16,25,30,2,1,1,28,15,3,4,18,17,3,29,15,2,15,24,29,7,20,25,9,21,26,7,10,11,15,28,3,8,17,28,26,22,1,23,5,24,7,7,6,8,5,4,13,5,1,1,3,29,7,1,8,27,20,6,,13
15,Chicago Bulls,2014,1,4,30,27,30,26,28,24,26,13,30,12,15,7,11,9,10,10,21,7,18,4,30,4,2,9,2,3,3,8,7,20,2,3,3,9,13,6,7,2,14,28,16,10,1,11,18,13,13,13,26,14,28,2,29,13,25,30,24,9,9,2,15,11,4,,1
16,Charlotte Hornets,2014,0,6,25,21,25,25,27,23,14,8,27,14,11,24,25,7,16,16,29,8,1,1,23,6,10,16,6,19,16,24,9,15,5,2,2,18,1,28,21,9,2,21,28,9,4,16,15,16,16,16,27,17,24,5,21,10,27,25,1,26,15,9,26,1,2,,25
1,Golden State Warriors,2015,16,26,1,3,1,2,4,1,10,21,2,23,26,9,23,4,6,1,4,2,18,13,1,26,10,27,1,6,7,5,15,28,1,25,24,27,27,18,24,9,25,2,5,27,15,1,30,1,1,1,16,1,2,1,1,26,7,1,14,21,25,1,7,18,22,,7
2,Cleveland Cavaliers,2015,14,23,15,24,8,4,2,5,28,29,7,9,12,18,11,21,18,10,19,25,17,5,8,23,22,16,20,13,15,9,21,15,24,1,1,11,12,4,3,30,15,10,22,11,13,7,24,5,5,5,23,6,3,18,25,10,2,4,18,6,7,19,22,16,1,,2
3,Houston Rockets,2015,9,20,21,12,20,1,1,14,29,30,5,5,2,27,7,18,14,9,3,10,28,27,6,20,15,25,12,8,18,1,21,23,17,20,19,17,29,13,19,12,29,22,3,7,17,3,27,7,7,7,8,7,12,8,2,2,1,7,28,7,6,7,5,28,16,,14
4,Atlanta Hawks,2015,8,26,10,27,4,5,7,2,26,28,4,19,24,5,30,22,28,2,5,15,16,1,10,26,8,12,6,29,30,7,2,2,13,3,2,28,24,14,18,24,8,18,6,20,5,2,29,4,4,4,30,4,6,6,15,21,4,3,19,30,15,13,3,22,6,,17
5,Los Angeles Clippers,2015,7,26,3,13,2,3,5,3,18,26,1,7,4,28,28,10,20,3,15,9,2,24,2,26,7,7,11,23,25,15,5,5,12,28,28,5,9,16,13,21,2,1,15,3,16,3,27,2,2,2,12,2,1,15,10,6,3,2,2,28,8,14,16,9,27,,9
6,Chicago Bulls,2015,6,8,23,18,22,15,16,10,22,19,23,3,4,3,6,7,3,14,28,5,12,4,15,8,16,29,4,3,3,3,27,29,2,5,8,15,27,9,14,5,12,25,29,6,9,9,21,9,9,10,24,10,11,11,23,5,16,21,12,5,3,2,29,19,2,,1
7,Memphis Grizzlies,2015,6,6,14,23,9,29,29,22,1,2,19,10,14,7,21,15,21,15,6,24,7,9,20,6,4,5,10,18,21,18,3,6,10,2,2,7,8,11,8,4,8,20,8,15,2,5,25,8,8,8,9,8,13,3,26,13,29,20,10,17,11,12,6,11,4,,18
8,Washington Wizards,2015,6,1,9,21,6,27,27,9,2,4,13,25,22,21,19,5,8,6,20,16,24,17,17,1,6,15,2,16,19,14,6,12,4,18,20,4,5,10,6,3,21,6,19,21,10,12,19,14,14,14,27,15,22,5,18,22,28,14,23,15,23,5,19,3,18,,13
9,San Antonio Spurs,2015,3,1,4,11,3,12,15,6,8,16,5,17,23,4,27,8,15,5,11,8,13,8,7,1,12,17,13,4,1,24,20,27,6,9,11,11,4,15,7,7,19,9,16,19,3,5,25,3,3,3,14,3,7,2,17,24,15,5,15,25,18,6,15,4,9,,12
10,Brooklyn Nets,2015,2,3,18,17,16,24,20,26,9,12,12,18,18,20,24,17,22,20,23,25,10,11,21,3,26,20,22,25,24,23,16,14,22,4,9,2,21,19,23,27,17,11,20,18,18,18,11,22,22,22,19,24,20,23,24,16,20,18,13,23,17,25,20,20,5,,20
11,Milwaukee Bucks,2015,2,3,16,26,7,23,26,7,6,8,16,24,25,12,17,25,24,7,1,11,29,28,22,3,1,4,5,20,26,8,1,3,9,22,22,6,22,7,12,18,27,16,1,17,8,15,16,15,15,15,26,16,26,4,13,23,25,13,29,14,21,8,1,24,25,,29
12,Dallas Mavericks,2015,1,8,2,8,5,7,8,13,11,20,3,15,16,16,20,23,23,8,10,20,4,15,3,8,21,21,16,30,28,27,11,8,14,16,14,19,30,26,29,17,7,4,4,2,25,9,21,11,11,11,7,9,5,20,9,19,9,6,3,24,20,21,4,29,14,,3
13,Portland Trail Blazers,2015,1,13,8,5,17,6,3,8,21,22,11,27,28,1,16,1,2,12,27,18,9,2,9,13,24,30,7,1,2,6,29,30,5,8,7,22,18,23,25,6,21,3,30,28,11,8,23,6,6,6,13,5,9,10,12,30,6,9,9,20,27,3,30,7,3,,8
14,Boston Celtics,2015,0,8,5,1,21,13,13,27,7,11,14,28,27,14,12,11,13,4,8,30,10,20,13,8,23,23,17,9,10,4,24,24,18,19,17,20,13,25,26,14,6,21,10,26,21,16,15,18,18,18,28,19,18,12,5,28,13,22,7,16,29,15,11,14,15,,16
15,New Orleans Pelicans,2015,0,23,11,19,10,19,23,4,12,9,21,20,20,17,10,19,16,11,25,1,6,6,16,23,18,11,23,2,3,2,28,26,21,12,10,24,10,5,5,8,3,28,28,29,11,13,17,13,13,13,10,13,8,22,27,18,23,11,8,4,19,16,28,13,11,,24
16,Toronto Raptors,2015,0,13,11,14,12,8,9,11,20,23,8,4,7,2,15,27,26,22,18,23,3,18,4,13,20,10,26,11,14,13,18,12,28,14,18,3,20,6,9,19,4,19,13,13,19,11,20,10,10,9,29,12,4,25,21,8,8,8,4,11,4,24,13,25,16,,5
1,Cleveland Cavaliers,2016,16,9,8,19,9,2,3,7,24,29,4,26,24,21,12,11,9,13,28,27,10,14,8,9,6,5,14,9,7,13,7,12,15,10,11,5,5,8,5,8,7,7,24,12,4,3,28,4,4,4,30,4,3,10,28,22,3,3,13,9,23,12,20,5,14,,2
2,Golden State Warriors,2016,15,5,1,3,1,1,1,1,16,26,1,22,23,16,21,1,4,1,9,2,24,19,1,5,21,29,3,6,13,2,25,29,4,22,23,17,25,9,15,16,24,3,15,19,19,1,30,2,2,1,28,1,1,5,2,25,2,1,20,19,25,2,22,15,17,,7
3,Oklahoma City Thunder,2016,11,11,2,7,3,17,17,17,3,11,2,4,7,10,1,2,1,10,21,4,26,16,2,11,16,27,5,12,14,8,21,28,7,18,18,16,22,1,2,10,26,11,26,15,15,5,26,3,3,3,24,3,2,13,10,8,19,4,24,1,5,5,27,17,15,,14
4,Toronto Raptors,2016,10,23,27,28,15,14,19,5,23,20,18,2,3,12,19,18,16,29,15,11,5,9,14,23,4,4,11,17,12,29,3,7,5,6,6,8,8,4,4,12,1,20,23,3,3,4,27,5,5,5,29,6,5,11,29,3,15,12,7,12,2,14,19,8,10,,4
5,Miami Heat,2016,7,11,13,27,4,28,28,27,4,9,8,18,14,23,22,6,13,23,27,1,14,4,23,11,8,13,9,3,3,12,19,24,6,7,5,27,10,6,6,2,10,4,27,20,5,7,21,12,12,12,21,12,14,9,25,11,27,11,18,17,13,7,26,6,7,,6
6,San Antonio Spurs,2016,6,29,3,24,2,25,26,2,1,7,3,25,28,2,25,5,15,3,11,6,4,1,10,29,2,3,4,1,1,1,10,23,2,1,2,19,4,5,3,4,8,2,14,22,1,2,29,1,1,2,25,2,4,1,24,26,25,2,9,23,21,1,8,3,2,,12
7,Portland Trail Blazers,2016,5,19,10,8,16,5,6,4,22,21,15,15,14,19,4,8,5,21,25,18,17,26,6,19,15,14,16,15,9,26,18,21,12,26,27,2,15,13,13,11,15,16,25,22,20,12,18,13,13,13,11,13,6,20,13,17,7,8,16,3,19,15,25,13,26,,8
8,Atlanta Hawks,2016,4,11,9,15,11,6,7,15,19,24,7,29,30,8,30,13,24,2,3,5,22,7,12,11,7,26,1,13,16,6,5,20,1,8,7,13,27,25,28,15,23,14,5,29,6,7,21,7,7,7,20,7,22,2,8,29,6,6,22,30,29,3,5,25,5,,23
9,Charlotte Hornets,2016,3,9,24,16,27,4,4,8,30,28,24,7,11,5,28,4,14,19,22,12,1,3,11,9,12,18,12,18,23,14,7,15,14,3,4,25,2,29,22,23,2,21,21,14,9,7,21,9,9,9,26,9,9,8,17,13,4,14,1,29,7,13,24,1,4,,18
10,Indiana Pacers,2016,3,5,15,13,17,18,20,14,13,13,17,14,17,15,17,10,12,22,4,17,20,11,17,5,9,16,6,13,19,3,9,17,13,14,13,11,17,19,20,4,16,9,7,13,8,11,20,11,11,11,19,11,25,3,11,18,20,20,19,20,17,10,6,16,16,,22
11,Boston Celtics,2016,2,23,7,1,24,12,11,28,12,10,19,8,12,6,3,15,6,6,2,22,12,29,5,23,10,20,7,7,11,4,15,22,11,27,28,14,24,22,26,6,14,24,2,10,13,7,21,8,8,8,27,8,10,4,4,20,13,24,4,10,14,8,4,26,27,,13
12,Los Angeles Clippers,2016,2,11,16,25,6,8,9,6,20,25,6,11,4,29,29,17,25,11,7,10,3,24,7,11,5,15,2,8,10,5,6,19,3,24,25,10,28,24,29,7,4,1,9,2,7,6,25,6,6,6,22,5,8,6,14,4,9,5,3,28,8,4,11,28,24,,10
13,Dallas Mavericks,2016,1,1,22,18,20,7,5,23,26,27,12,12,21,3,26,9,19,18,26,29,2,8,16,1,14,18,15,22,26,9,11,5,19,11,12,4,16,26,24,14,11,8,18,8,14,14,15,16,16,16,5,16,11,17,22,19,5,13,2,25,12,17,17,14,8,,3
14,Houston Rockets,2016,1,11,20,23,14,3,2,19,28,30,4,3,1,27,7,27,20,16,1,13,27,28,4,11,22,21,19,28,29,21,12,4,24,23,24,15,30,10,21,29,29,13,1,1,25,17,13,15,15,15,12,15,7,21,7,1,1,7,27,6,3,23,2,30,22,,15
15,Detroit Pistons,2016,0,5,18,5,25,10,10,22,18,18,23,20,5,30,2,11,2,27,24,30,9,6,19,5,19,11,22,2,2,16,28,26,16,5,3,28,1,16,8,9,4,9,22,5,12,12,18,14,14,14,23,14,13,12,21,5,10,22,5,2,21,16,23,2,6,,25
16,Memphis Grizzlies,2016,0,11,26,22,23,27,25,29,10,4,27,5,9,9,8,30,28,25,6,21,6,27,24,11,3,1,18,29,28,22,1,1,23,28,26,24,12,12,11,13,3,29,3,9,11,14,15,20,20,20,13,20,19,19,27,6,26,29,8,8,4,24,1,20,30,,20
1,Golden State Warriors,2017,16,18,1,9,1,4,5,3,5,22,1,17,18,11,20,3,7,1,1,1,22,12,1,18,14,29,1,8,20,1,17,27,3,14,15,3,30,6,14,14,28,4,1,22,11,1,30,1,1,1,22,1,1,2,4,20,6,1,22,18,21,1,8,29,11,,8
2,Cleveland Cavaliers,2017,13,4,5,19,5,2,2,2,27,29,3,19,13,23,21,7,12,13,30,25,14,4,4,4,26,26,16,26,24,18,22,22,17,3,3,20,27,16,20,29,8,8,28,6,20,5,23,7,7,7,24,7,3,21,15,15,2,2,14,20,20,18,29,22,3,,2
3,Boston Celtics,2017,9,25,21,18,16,3,3,14,28,28,8,10,15,3,22,22,27,4,18,23,8,21,7,25,12,15,9,7,14,2,14,13,19,25,25,9,25,20,25,12,17,23,17,11,15,4,27,8,8,8,26,8,8,13,13,17,3,9,9,25,9,5,17,27,23,,12
4,San Antonio Spurs,2017,8,13,14,24,6,17,25,1,13,11,15,18,24,7,16,12,11,7,11,2,10,7,14,13,3,9,4,2,3,5,10,18,2,7,7,14,9,5,5,6,14,5,12,17,2,2,29,2,2,2,16,2,9,1,27,18,24,10,15,14,18,2,9,6,6,,13
5,Washington Wizards,2017,7,7,2,10,3,16,20,8,4,6,7,20,22,12,13,24,22,6,2,24,20,27,5,7,21,12,24,17,16,20,16,11,25,17,21,1,20,9,11,15,12,10,3,18,21,9,22,9,9,9,29,9,7,20,11,25,23,6,17,13,23,24,2,24,17,,20
6,Houston Rockets,2017,6,18,4,7,12,1,1,15,29,30,2,2,1,20,9,15,8,3,8,20,25,15,2,18,27,27,23,22,25,4,27,18,28,11,10,23,23,17,19,27,24,17,5,8,26,3,28,3,3,3,12,3,2,18,3,2,1,3,24,10,2,21,11,21,8,,21
7,Toronto Raptors,2017,4,18,16,22,11,21,22,13,12,13,12,3,6,8,12,23,18,30,4,12,4,23,10,18,5,4,6,13,18,12,4,7,8,20,18,24,13,7,6,8,3,13,10,10,8,5,23,5,5,5,30,6,6,11,24,6,22,12,5,8,1,9,7,16,24,,3
8,Utah Jazz,2017,4,25,28,30,9,13,17,9,24,26,9,22,16,24,19,13,19,28,29,8,13,8,28,25,2,3,2,3,2,17,9,15,1,6,6,10,4,2,1,1,8,3,29,12,1,5,23,6,6,6,13,5,12,3,30,8,11,8,23,16,12,3,25,4,9,,6
9,Los Angeles Clippers,2017,3,25,10,26,2,9,11,7,17,23,4,6,3,27,24,11,21,15,20,21,7,14,6,25,11,14,11,9,11,8,12,14,9,16,16,16,14,13,12,17,7,1,22,1,12,5,23,4,4,4,11,4,5,12,16,1,9,4,6,23,3,6,21,10,13,,10
10,Atlanta Hawks,2017,2,4,23,22,18,20,16,23,18,17,14,13,5,28,14,10,9,10,7,14,28,6,22,4,13,23,5,28,29,16,6,9,6,4,4,16,22,15,16,19,29,22,2,3,10,11,19,19,19,19,25,20,27,4,10,4,15,19,28,15,13,8,3,19,5,,26
11,Chicago Bulls,2017,2,18,20,8,25,28,29,24,6,3,29,15,19,6,2,9,3,14,15,16,12,2,23,18,17,22,14,6,9,6,24,24,16,2,2,11,17,12,13,23,10,12,20,25,6,15,14,14,14,14,27,14,20,6,20,21,28,30,10,4,19,10,20,11,2,,1
12,Memphis Grizzlies,2017,2,2,29,25,30,15,14,17,26,20,30,12,12,12,10,27,24,21,13,22,6,29,29,2,1,1,2,19,21,11,1,1,7,28,29,2,6,11,7,3,6,18,13,4,3,11,19,12,12,13,5,11,19,7,28,11,13,28,7,9,11,7,5,8,29,,23
13,Milwaukee Bucks,2017,2,18,19,29,4,22,24,10,14,19,6,21,20,19,25,28,29,5,10,6,18,17,20,18,8,5,17,20,22,9,8,4,24,15,14,12,19,8,8,26,13,9,9,24,9,13,17,16,16,16,21,17,13,19,26,16,21,7,21,22,17,20,4,26,19,,27
14,Oklahoma City Thunder,2017,1,13,11,5,17,26,18,30,7,8,13,8,4,26,1,7,1,25,14,10,24,24,11,13,16,13,19,4,4,14,23,23,13,21,24,6,5,4,3,7,25,28,18,5,16,10,21,11,11,11,8,10,16,10,9,4,18,24,19,1,10,13,18,3,21,,14
15,Indiana Pacers,2017,0,7,15,20,10,23,27,4,9,9,17,16,23,2,23,21,26,16,9,9,16,13,15,7,7,11,10,25,25,13,5,6,12,24,20,30,24,19,21,11,20,16,6,20,14,13,17,17,17,17,28,19,15,16,18,19,26,13,16,24,16,15,6,25,25,,22
16,Portland Trail Blazers,2017,0,1,9,13,14,8,10,6,20,16,16,11,11,14,15,14,14,23,25,10,15,26,8,1,15,18,12,10,6,27,18,26,4,29,28,29,12,22,17,4,19,24,26,16,25,15,14,18,18,18,9,16,11,24,14,14,12,11,13,17,14,11,27,12,28,,9
1,Golden State Warriors,2018,16,23,1,24,1,8,17,1,5,20,1,18,22,1,28,7,17,1,9,1,26,15,1,23,18,29,3,13,13,10,22,28,6,19,19,8,30,1,8,17,30,1,14,25,18,3,28,3,3,3,22,3,3,11,5,20,15,1,28,23,16,5,21,25,11,,7
2,Cleveland Cavaliers,2018,12,23,10,26,4,3,5,6,20,28,5,6,9,10,27,17,23,12,24,28,10,5,5,23,30,25,28,28,29,22,24,13,28,3,4,5,18,17,18,28,12,3,26,7,26,6,25,14,14,14,28,14,5,29,12,8,4,3,11,27,6,28,26,17,2,,2
3,Boston Celtics,2018,11,12,25,25,21,7,10,2,27,23,25,21,20,17,20,6,8,20,23,18,15,17,20,12,3,12,2,4,9,1,6,17,5,15,15,12,13,20,22,4,7,6,19,22,3,4,27,6,6,6,29,7,18,1,22,18,8,15,15,18,20,2,14,11,16,,11
4,Houston Rockets,2018,11,18,22,27,15,1,1,13,30,30,2,2,3,9,24,10,18,26,5,15,12,12,2,18,17,14,16,9,11,7,19,14,20,4,6,3,3,15,4,11,11,5,10,11,6,1,30,1,1,1,26,1,1,6,13,3,1,2,12,21,1,13,11,3,4,,17
5,New Orleans Pelicans,2018,5,1,2,3,2,18,18,13,2,6,4,19,17,15,26,3,10,3,8,3,22,8,3,1,28,30,9,20,25,8,28,29,10,12,9,28,29,23,25,20,22,4,11,13,29,8,20,13,13,13,6,12,10,14,1,22,20,4,17,28,22,9,22,20,8,,25
6,Philadelphia 76ers,2018,5,16,5,13,8,12,12,10,11,17,7,11,10,23,3,1,1,2,7,9,30,29,7,16,5,22,1,9,17,2,5,22,1,29,29,2,20,4,6,5,26,21,15,11,11,5,26,5,5,4,25,5,12,4,4,10,13,7,30,3,12,1,18,9,28,,3
7,Utah Jazz,2018,5,18,26,29,13,13,13,12,25,26,12,14,15,12,23,11,20,21,4,9,20,16,19,18,2,3,6,5,3,17,4,15,4,8,10,19,3,10,1,1,24,11,6,8,1,8,20,4,4,5,7,4,16,2,25,12,10,9,24,17,8,6,4,4,15,,15
8,Toronto Raptors,2018,4,8,3,6,7,4,3,18,13,25,3,9,13,4,14,11,14,6,18,2,6,27,4,8,8,14,5,1,2,11,21,27,3,26,27,16,17,5,7,7,5,18,12,16,6,2,29,2,2,2,30,2,2,5,14,16,5,5,4,11,11,3,15,13,25,,4
9,Indiana Pacers,2018,3,18,6,14,6,25,26,9,4,4,13,24,27,11,17,25,22,23,3,25,5,7,17,18,15,11,18,15,23,5,12,5,27,6,5,7,21,8,14,12,3,25,3,26,9,8,20,12,12,12,24,13,11,13,23,26,26,12,6,12,24,19,2,26,7,,27
10,Milwaukee Bucks,2018,3,8,14,28,3,27,25,22,6,13,6,5,7,8,29,28,30,14,2,5,11,26,15,8,13,4,20,9,7,25,15,12,15,27,25,27,19,8,12,18,4,7,2,16,16,15,15,20,20,20,21,20,9,19,20,4,25,8,14,26,5,20,3,29,29,,24
11,Oklahoma City Thunder,2018,2,8,13,4,18,15,11,24,15,16,16,10,4,29,1,26,5,28,1,11,13,21,12,8,9,7,12,25,24,19,3,3,12,14,13,17,11,6,5,14,15,9,1,3,10,8,20,7,7,7,15,6,7,9,17,6,12,17,9,1,14,18,1,16,19,,13
12,Washington Wizards,2018,2,5,12,19,11,21,23,4,10,10,14,13,14,15,13,22,21,4,10,22,18,25,13,5,11,9,15,12,14,6,12,9,23,22,26,10,16,7,10,10,19,13,6,15,15,17,14,15,15,15,18,15,14,15,18,15,24,11,21,9,15,15,9,18,26,,14
13,Miami Heat,2018,1,2,19,23,17,11,9,16,22,22,14,26,25,22,21,13,18,17,21,6,16,20,23,2,4,6,7,6,6,13,8,16,7,25,22,26,6,19,15,3,13,10,18,21,4,15,15,16,16,16,27,16,22,7,27,24,7,14,18,19,25,7,13,6,27,,6
14,Minnesota Timberwolves,2018,1,12,4,15,4,30,30,19,1,2,10,3,5,2,7,27,24,18,6,24,2,3,8,12,19,10,29,19,18,18,18,8,29,11,11,24,15,3,3,21,1,12,4,5,17,12,18,10,10,10,9,10,4,27,24,5,30,13,1,4,3,27,5,24,13,,21
15,San Antonio Spurs,2018,1,23,17,22,16,28,27,26,9,5,20,19,18,13,6,14,11,15,14,4,4,1,27,23,6,8,8,3,4,4,16,21,8,1,3,9,8,14,10,8,14,2,20,18,1,12,18,8,8,8,17,8,17,3,28,17,27,26,5,6,18,8,12,8,3,,12
16,Portland Trail Blazers,2018,0,18,15,8,20,16,19,11,17,11,23,15,18,3,9,5,3,30,26,7,8,13,16,18,7,16,4,7,5,16,11,23,2,18,18,4,10,16,13,2,10,22,29,23,5,7,24,9,9,9,16,9,15,8,19,19,18,23,7,10,17,4,29,5,18,,8
1,Toronto Raptors,2019,16,4,9,16,5,8,11,6,17,23,7,16,21,3,24,9,17,13,9,9,16,17,8,4,9,16,5,9,10,8,10,23,6,10,12,13,18,8,13,15,17,6,10,19,9,2,29,3,3,3,29,3,5,5,15,21,10,3,15,22,14,4,9,15,11,,4
2,Golden State Warriors,2019,14,15,1,13,1,3,8,3,12,22,2,23,28,5,21,3,11,1,15,1,21,22,2,15,11,24,3,17,25,11,7,20,4,24,24,23,21,5,10,12,19,1,19,27,16,3,28,2,2,2,19,2,1,13,10,28,8,1,18,16,23,3,20,14,21,,6
3,Milwaukee Bucks,2019,10,18,3,6,3,2,2,15,16,27,1,12,15,14,25,1,1,7,17,2,13,5,1,18,12,30,1,30,30,22,4,18,1,1,4,1,9,20,15,19,3,12,21,21,11,1,30,1,1,1,30,1,4,1,2,17,3,2,10,27,15,1,25,1,1,,17
4,Portland Trail Blazers,2019,8,7,7,7,12,17,18,9,7,9,14,5,13,2,3,7,3,25,25,16,11,11,6,7,15,19,13,8,3,20,22,26,5,15,15,20,15,1,3,3,10,18,29,16,14,5,25,7,7,7,9,6,3,16,18,14,20,13,11,1,7,12,30,9,16,,7
5,Denver Nuggets,2019,7,27,12,11,13,18,16,17,10,12,10,27,25,20,2,17,8,2,13,24,8,7,20,27,5,4,15,10,13,1,6,4,21,7,9,2,7,2,1,16,14,14,17,20,6,4,27,8,8,8,8,7,6,10,27,27,15,15,8,2,27,15,15,8,15,,12
6,Philadelphia 76ers,2019,7,15,14,20,8,19,19,8,14,15,9,2,2,16,11,2,4,4,19,11,25,20,4,15,17,26,10,4,6,4,29,29,9,26,26,17,10,4,4,5,21,4,27,6,19,7,24,11,11,11,26,11,8,15,8,2,18,8,24,8,2,6,28,6,22,,1
7,Houston Rockets,2019,6,11,25,26,24,1,1,12,30,30,3,3,7,9,14,29,28,28,5,18,6,25,11,11,10,5,19,3,4,2,20,13,23,21,20,16,23,10,16,7,11,8,9,24,10,5,25,5,5,5,13,5,2,17,26,6,1,4,9,14,3,18,7,28,25,,16
8,Boston Celtics,2019,5,18,11,9,14,6,7,7,18,18,11,28,29,4,20,16,22,5,4,10,3,12,14,18,4,9,4,15,22,6,5,5,12,13,16,12,16,22,22,8,2,2,7,26,8,9,21,6,6,6,27,8,10,7,16,30,9,7,4,24,28,9,8,18,17,,11
9,San Antonio Spurs,2019,3,15,8,17,2,26,30,1,2,2,18,20,24,1,27,12,21,16,30,21,1,1,18,15,16,18,18,18,18,18,13,14,17,2,1,6,4,15,7,18,8,3,30,25,12,11,18,12,12,12,15,12,7,19,22,24,30,6,2,26,17,20,29,4,2,,13
10,Los Angeles Clippers,2019,2,11,17,24,7,25,28,2,9,6,23,1,1,8,22,8,13,18,23,22,22,28,5,11,18,25,14,6,8,5,28,28,14,28,28,24,28,11,19,11,25,30,24,1,25,11,18,13,13,13,10,13,9,21,7,1,27,12,21,19,1,8,27,25,27,,20
